,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,param_force_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
20,0.03491497039794922,0.007850388616445684,0.008737961451212565,0.002934095408470732,0.6000000000000001,True,True,"{'alpha': 0.6000000000000001, 'fit_prior': True, 'force_alpha': True}",0.6401086464463558,0.6195652173913043,0.6286231884057971,0.6294323507478191,0.008406314178710867,39
21,0.036844333012898765,0.0020469335556559894,0.009162664413452148,0.0028790541590796317,0.6000000000000001,True,False,"{'alpha': 0.6000000000000001, 'fit_prior': True, 'force_alpha': False}",0.6401086464463558,0.6195652173913043,0.6286231884057971,0.6294323507478191,0.008406314178710867,39
22,0.038504997889200844,0.00748911820944359,0.0075143178304036455,0.0016299363164718915,0.6000000000000001,False,True,"{'alpha': 0.6000000000000001, 'fit_prior': False, 'force_alpha': True}",0.6301493888637393,0.6163949275362319,0.6240942028985508,0.6235461730995073,0.005628590948479233,55
23,0.03367185592651367,0.00451062328496009,0.00734718640645345,0.0016821023815834562,0.6000000000000001,False,False,"{'alpha': 0.6000000000000001, 'fit_prior': False, 'force_alpha': False}",0.6301493888637393,0.6163949275362319,0.6240942028985508,0.6235461730995073,0.005628590948479233,55
24,0.03948521614074707,0.004193788327474974,0.008149385452270508,0.0018226223654876001,0.7000000000000001,True,True,"{'alpha': 0.7000000000000001, 'fit_prior': True, 'force_alpha': True}",0.6396559529198732,0.6222826086956522,0.6268115942028986,0.629583385272808,0.007358459607134293,37
25,0.03971099853515625,0.006513989265254073,0.009529670079549154,0.003768165349585671,0.7000000000000001,True,False,"{'alpha': 0.7000000000000001, 'fit_prior': True, 'force_alpha': False}",0.6396559529198732,0.6222826086956522,0.6268115942028986,0.629583385272808,0.007358459607134293,37
26,0.04019610087076823,0.015946610188587174,0.007065931955973308,0.0003301764397606909,0.7000000000000001,False,True,"{'alpha': 0.7000000000000001, 'fit_prior': False, 'force_alpha': True}",0.6337709370755998,0.6173007246376812,0.6209239130434783,0.6239985249189198,0.007066677818041383,51
27,0.03453207015991211,0.0038570047615979768,0.009986639022827148,0.0038633213546776326,0.7000000000000001,False,False,"{'alpha': 0.7000000000000001, 'fit_prior': False, 'force_alpha': False}",0.6337709370755998,0.6173007246376812,0.6209239130434783,0.6239985249189198,0.007066677818041383,51
28,0.032123963038126625,0.008975959733382824,0.014079411824544271,0.004843181020396417,0.8,True,True,"{'alpha': 0.8, 'fit_prior': True, 'force_alpha': True}",0.6464463558171119,0.626358695652174,0.6281702898550725,0.6336584471081194,0.009072611724346964,19
29,0.03473226229349772,0.004725380823515398,0.01006929079691569,0.00477243828742316,0.8,True,False,"{'alpha': 0.8, 'fit_prior': True, 'force_alpha': False}",0.6464463558171119,0.626358695652174,0.6281702898550725,0.6336584471081194,0.009072611724346964,19
